Experiment,Model,Acc_mean,Acc_std,Prec_mean,Prec_std,Rec_mean,Rec_std,F1_mean,F1_std,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std
A4_Full+all_mpnet_base_v2,LR,0.7486857014968707,0.006915475643068437,0.5174221102119041,0.00858782190882033,0.7897162764691545,0.015343720275474999,0.6251512849517677,0.009418550568623276,0.8457273894265465,0.011950204261691811,0.6635271003954031,0.015778098065527966,0.4709780073169571,0.014494568469986457
A4_Full+all_mpnet_base_v2,RF,0.7556424003161494,0.007364518001774297,0.5266966077017512,0.009679829992105727,0.7811457900245158,0.02001466390005591,0.6291141718892352,0.012278963055782615,0.839759408105358,0.01191180217191747,0.6456253832330471,0.02091102400448601,0.4768427714668893,0.01845076018537412
A4_Full+all_mpnet_base_v2,XGB,0.7543646969159301,0.011803447147533976,0.5255450783923024,0.015825386370500658,0.7774153775573109,0.010048367142213278,0.626997234550491,0.01235337039481256,0.8386979494371296,0.011003794453734232,0.6464612944782052,0.01873927835699205,0.4734527665075176,0.018674300553321085
A4_Full+all_mpnet_base_v2,MLP,0.7908561641073618,0.010797011618824078,0.630435406939193,0.030987148211687122,0.5179079869822655,0.016828799591894365,0.5680379511139375,0.01414857307711647,0.8283379426875911,0.013032885776985905,0.6328041802033879,0.021290416101804033,0.4359113441348696,0.022885063167816088
A4_Full+all_mpnet_base_v2,LGBM,0.7633096288470224,0.010236737008863989,0.5383721503043557,0.014093596006034671,0.7608278017519462,0.014721397075259221,0.6305180142637086,0.014069016300542405,0.836636480520508,0.01043600647517602,0.6434962975665218,0.020892791191865573,0.4788801200152288,0.02111199893535019
A4_Full+all_mpnet_base_v2,Stack,0.8002250145170656,0.010801080842723472,0.6435709363052605,0.02594846096630349,0.55537268282892,0.01730760426689998,0.5961131321496256,0.019686932902018374,0.8455226693694924,0.011911337409996756,0.6636487635899236,0.016817250337096155,0.46667205477191753,0.02745695997262056
A5_Struct+Eng+TFIDF,LR,0.7523783792502743,0.010256066972078216,0.5220853569802949,0.012798863849700817,0.7977505698843028,0.010547923870202272,0.6310760293524049,0.011800806299513753,0.8473277258976125,0.012293914497148655,0.666302229822579,0.01743389965447575,0.4800457236998036,0.018104219506497102
A5_Struct+Eng+TFIDF,RF,0.7496791123620878,0.00781682436846306,0.5187159180039776,0.0100365800405104,0.7886438904101734,0.01446280274675132,0.6257764545209288,0.010816796010550618,0.8396098388404158,0.01266951053931426,0.6453860319212318,0.023032121621993647,0.4718568886777589,0.016480197281806424
A5_Struct+Eng+TFIDF,XGB,0.7546484853861539,0.008533030773163917,0.5256178856787466,0.011248233531334731,0.7774168112285128,0.011225723693788311,0.6271533591959123,0.010896973284830951,0.8380193408363272,0.011459964192365005,0.6465758427970897,0.020678944474282993,0.4737018781321451,0.01651754124750176
A5_Struct+Eng+TFIDF,MLP,0.7958247306277825,0.005433012697641711,0.6407356527319364,0.016013712917045453,0.5264942438101247,0.018204825002802193,0.5777020250147461,0.011653562008221381,0.8387553841911553,0.006930050859720524,0.6507967292656132,0.012700755363014075,0.4487492006818382,0.013748049853970941
A5_Struct+Eng+TFIDF,LGBM,0.7556416946254597,0.012527652576065551,0.5275803390812219,0.016641822994618638,0.7597539820217631,0.020101506630760834,0.6227180987279739,0.018208177655507276,0.8372231388767768,0.011481493212000345,0.6492184583540468,0.01812048044531532,0.4669927817520472,0.027431876077004327
A5_Struct+Eng+TFIDF,Stack,0.7989473111168464,0.010561046708404605,0.6371316566910774,0.025883516276846763,0.5649954839357141,0.014986148682985171,0.5987489073884014,0.017918930633635644,0.847084048706213,0.011855315672037518,0.6663786876386458,0.017407818063831182,0.46687663315902733,0.02578736394587252
